PLAYER_ID,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_FG3A,PULL_UP_PTS,PULL_UP_EFG_PCT,SEASON
202130,1.3,1.7,0.8,0.3,2.7,0.8,13-14
2210,0.5,1.4,0.33,0.3,1.0,0.371,13-14
203495,0.1,0.5,0.2,0.2,0.3,0.3,13-14
201937,0.7,2.4,0.299,0.1,1.5,0.307,13-14
203133,0.2,0.6,0.303,0.1,0.4,0.303,13-14
203496,0.0,0.0,,0.0,0.0,,13-14
203135,0.1,0.4,0.25,,0.2,0.25,13-14
201577,0.1,0.3,0.24,0.0,0.1,0.24,13-14
201155,1.5,3.8,0.391,0.1,3.0,0.391,13-14
2427,0.4,0.7,0.529,0.3,0.9,0.647,13-14
200758,0.0,0.1,0.0,0.0,0.0,0.0,13-14
101179,0.4,1.2,0.289,0.5,0.8,0.316,13-14
101142,0.0,0.1,0.5,,0.1,0.5,13-14
201579,0.3,0.7,0.382,0.0,0.5,0.391,13-14
2767,0.0,1.0,0.0,0.5,0.0,0.0,13-14
203091,0.0,0.0,,,0.0,,13-14
200752,2.3,5.6,0.415,0.8,4.9,0.438,13-14
203497,0.0,0.0,,,0.0,,13-14
201566,3.4,8.7,0.394,3.3,7.9,0.459,13-14
201583,1.5,3.3,0.438,0.4,3.0,0.452,13-14
101155,0.2,0.6,0.333,0.0,0.4,0.333,13-14
200797,0.0,0.0,,,0.0,,13-14
203527,0.5,1.2,0.386,0.1,0.9,0.393,13-14
2223,0.0,0.1,0.429,0.0,0.1,0.429,13-14
2756,0.0,0.0,,0.0,0.0,,13-14
203816,0.0,1.0,0.0,0.5,0.0,0.0,13-14
201586,0.3,0.8,0.361,0.0,0.6,0.369,13-14
203508,0.1,0.3,0.286,0.0,0.2,0.286,13-14
203552,0.0,0.5,0.0,0.0,0.0,0.0,13-14
203498,0.4,0.7,0.6,0.0,0.8,0.6,13-14
2203,0.0,0.2,0.2,0.1,0.1,0.233,13-14
202197,0.0,0.0,,,0.0,,13-14
203499,0.3,1.0,0.32,0.2,0.7,0.35,13-14
200769,0.2,0.9,0.24,0.0,0.4,0.24,13-14
2733,1.0,2.2,0.457,0.0,2.0,0.457,13-14
101183,0.0,0.0,,,0.0,,13-14
1890,0.4,1.1,0.354,0.0,0.8,0.354,13-14
200761,0.2,0.5,0.333,0.1,0.4,0.361,13-14
202714,0.8,2.4,0.353,0.9,2.0,0.413,13-14
203524,0.2,0.3,0.857,0.1,0.5,1.071,13-14
200780,0.0,0.1,0.0,,0.0,0.0,13-14
201150,0.5,1.0,0.456,0.2,1.0,0.487,13-14
201939,4.5,10.2,0.446,5.0,11.1,0.545,13-14
1536,0.1,0.3,0.333,0.1,0.2,0.333,13-14
2581,0.8,2.6,0.317,1.0,2.0,0.372,13-14
959,1.3,3.8,0.351,0.7,2.8,0.368,13-14
200779,0.1,0.6,0.25,0.3,0.4,0.313,13-14
203500,0.0,0.0,,,0.0,,13-14
201959,0.3,0.9,0.3,0.0,0.5,0.3,13-14
2419,0.3,1.3,0.238,0.0,0.6,0.238,13-14
203093,0.1,0.4,0.265,0.1,0.3,0.279,13-14
203082,0.8,2.3,0.342,0.6,1.7,0.38,13-14
200757,0.3,0.7,0.415,0.1,0.6,0.451,13-14
201152,0.6,1.9,0.313,0.4,1.3,0.337,13-14
203080,0.1,0.3,0.3,0.0,0.2,0.3,13-14
201168,0.0,0.1,0.25,0.0,0.0,0.25,13-14
1495,0.3,0.9,0.344,0.0,0.6,0.344,13-14
203501,0.8,2.0,0.417,0.6,1.9,0.466,13-14
202389,0.0,0.1,0.5,0.0,0.1,0.5,13-14
202699,1.0,2.1,0.45,0.2,2.0,0.458,13-14
201962,0.5,1.4,0.333,0.9,1.1,0.406,13-14
2754,0.2,0.7,0.27,0.1,0.4,0.284,13-14
